c_public,lambda_hidden,b,hidden_count_h,rank_r,cell_lower_bound_ceil_h_over_2r,energy_lower_h2_over_2r,sharp_integer_energy_lower,exact_fiber_energy,exact_public_column_energy,fibers
0x02,0x02,0x12,120,1,60,7200.0,7200,7232,7442,0xde:64;0x00:56
0x04,0x04,0x26,120,2,30,3600.0,3600,3648,3984,0x00:32;0x7f:32;0xde:32;0xa1:24
0x10,0x10,0x24,120,4,8,900.0,904,960,1242,0x60:11;0x00:9;0x20:9;0x5f:9;0x7f:9;0xa1:9;0xde:9;0x3f:7;0x40:7;0x9e:7;0xbe:7;0xc1:7;0xe1:7;0x81:5;0xfe:5;0x1f:3
0x1d,0x1d,0x30,120,4,8,900.0,904,960,1246,0x81:11;0xc1:11;0x1f:9;0x20:9;0xa1:9;0xde:9;0x00:7;0x3f:7;0x40:7;0x7f:7;0xbe:7;0xfe:7;0x5f:5;0x60:5;0x9e:5;0xe1:5
0x03,0x03,0xa2,32,1,16,512.0,512,562,1024,0xde:21;0x00:11
