weak_key_byte_values,master_key_density,master_key_count,guaranteed_q_num,guaranteed_probability,ratio_to_1_over_256,input_byte_j,output_byte_i,L_coefficient,gamma,effective_rows,key_bytes
1,0.00390625,1*2^248,794,0.012115478515625,3.1015625,4,6,0x06,0x9c,0x00,0x00
2,0.0078125,2*2^248,768,0.01171875,3.0,4,6,0x06,0x9c,0x00;0xde,0x00;0x4a
4,0.015625,4*2^248,352,0.00537109375,1.375,9,2,0x63,0x59,0x00;0xde;0x32;0xae,0x00;0x4a;0xaf;0xdb
8,0.03125,8*2^248,324,0.00494384765625,1.265625,6,12,0x3d,0x99,0x00;0x66;0x82;0xcc;0xde;0x6d;0x13;0x98,0x00;0x22;0x7e;0x44;0x4a;0x9a;0xb0;0xc9
16,0.0625,16*2^248,306,0.004669189453125,1.1953125,9,2,0x63,0x2c,0xca;0xd9;0x7c;0xcb;0xb4;0x9d;0x18;0xfc;0x56;0x43;0x54;0x2c;0x78;0x9c;0x9a;0x5a,0x46;0xf6;0x95;0xf8;0x6c;0xca;0x08;0x54;0x32;0x80;0x8d;0xa5;0x28;0x74;0x76;0x36
32,0.125,32*2^248,292,0.00445556640625,1.140625,12,5,0x0e,0x8f,0xb6;0x11;0x88;0x58;0x5d;0xa3;0xc5;0xae;0x0d;0xc1;0xa8;0xf6;0x0e;0xf7;0x12;0xb0;0x07;0x3f;0x22;0xcf;0x46;0xfd;0x91;0x63;0xba;0x4f;0xc8;0xd6;0x7b;0xc4;0xcb;0xee,0xd3;0x0f;0x78;0x89;0x8a;0x61;0x43;0xdb;0xba;0xfe;0xd9;0x52;0xbb;0xec;0x0e;0xd1;0xbc;0x15;0x1e;0x45;0x83;0xea;0xce;0x21;0xd7;0x84;0xf9;0xf3;0x29;0xfd;0xf8;0x5a
64,0.25,64*2^248,278,0.004241943359375,1.0859375,6,13,0x5a,0x66,0xe6;0x88;0xc4;0x23;0x0e;0x00;0x1f;0xe2;0x8c;0x07;0x10;0x41;0xf3;0x65;0x3f;0x82;0xfd;0xb6;0x06;0x17;0x20;0x87;0xea;0x14;0x1e;0xcf;0xc5;0x84;0xdd;0x8e;0x96;0x59;0x38;0x32;0x37;0xef;0xf8;0x98;0x05;0xb9;0x9a;0x2d;0x80;0x46;0x1b;0xe0;0xd3;0x62;0xd0;0xdb;0xe3;0x6c;0xde;0x93;0x66;0x26;0xf6;0x34;0x9d;0xa3;0x1d;0xdf;0x7c;0xeb,0xe3;0x78;0xfd;0xa0;0xbb;0x00;0xb4;0x5e;0xc5;0xbc;0xb1;0x3f;0x51;0x23;0x15;0x7e;0xea;0xd3;0x02;0x0d;0xa1;0x7d;0xe7;0x0c;0x0a;0x45;0x43;0x7c;0x4b;0x7a;0x72;0x37;0xa9;0xaf;0xac;0xe4;0xe9;0xc9;0x03;0xd6;0x76;0x1b;0xc1;0x83;0x09;0xe1;0xf0;0x9f;0xf1;0x49;0xe0;0x24;0x4a;0x71;0x22;0xa3;0x52;0xad;0xca;0x61;0x0b;0xf4;0x95;0x59
128,0.5,128*2^248,262,0.003997802734375,1.0234375,0,8,0xb8,0x06,0x8e;0xc3;0x10;0x77;0xdc;0x79;0x12;0x61;0x95;0x9c;0x20;0xf7;0xa5;0x81;0x78;0xf1;0xb3;0x33;0xc6;0xbf;0x1d;0x8f;0x1f;0x91;0xd6;0x29;0xc1;0xd8;0x01;0x6d;0x48;0x5f;0x47;0x53;0x1c;0x2e;0x15;0x21;0xa8;0x60;0xb6;0x5d;0x54;0xf5;0xdd;0xbe;0x27;0x2c;0x24;0xb1;0xb0;0xdf;0x83;0xc8;0x8a;0x7e;0xa9;0xa3;0x18;0x02;0xf8;0x9a;0x2b;0xb5;0x03;0x86;0xb9;0x67;0xd5;0xfa;0x7d;0x3e;0x04;0xf9;0x93;0xa6;0xae;0xfd;0xff;0x0c;0x5c;0xe1;0x39;0xfe;0x41;0x4c;0x50;0x7c;0xa2;0x0b;0x37;0x9d;0x8d;0x7f;0xbd;0xe9;0xee;0xac;0xba;0x06;0x9b;0x6f;0x43;0x3b;0x2f;0x80;0x3a;0x3f;0xc5;0x8b;0x40;0x69;0x4d;0x65;0xcb;0xb7;0x58;0xe5;0x1e;0xce;0xf6;0x63;0x64;0xa7;0x4b;0x96;0xc7;0xd9,0x7a;0x41;0xb1;0x2d;0xf5;0x96;0x0e;0x9e;0x73;0x74;0xa1;0xec;0x63;0x7f;0x28;0xee;0xd0;0x11;0x42;0xd4;0x0b;0xc4;0xb4;0xce;0xf3;0xa6;0xfe;0x48;0xbe;0x9a;0x38;0x35;0x3d;0x31;0xb5;0x1a;0xb2;0x1f;0xd9;0x20;0xd3;0x8a;0x8d;0x53;0x4b;0x6a;0x1d;0xa5;0x1c;0x6f;0xd1;0xf4;0xc0;0xf9;0xc7;0x2a;0x67;0x61;0x08;0xbf;0xe9;0x76;0x19;0xd2;0x01;0xc3;0xd6;0x9c;0xf2;0x56;0x2b;0xab;0xbd;0x57;0x71;0x62;0xdb;0xea;0x55;0x04;0x34;0x5f;0x17;0xeb;0x3f;0x85;0x30;0x95;0xdf;0xb8;0xac;0xca;0x7b;0x94;0x6b;0xe6;0x5a;0x64;0xd7;0x02;0xc8;0x25;0x80;0xa8;0xa4;0xc1;0x16;0x15;0x43;0x79;0x81;0x27;0x3b;0x23;0xf8;0x6d;0x89;0xe2;0x0a;0xfb;0x52;0x21;0x9d;0xdc;0x39;0x72;0xfc;0xf6
