j,i,coef,rho,Dmin,hard_row_1,hard_row_2,uniform_key_MI_bits_per_pair
0,0,207,0.9991203605400196,0.0008800265697981812,57,231,0.005940173796691239
1,9,212,0.999104663312595,0.0008957377406999746,3,143,0.006114905179041173
2,0,116,0.999118178993126,0.0008822100397397494,47,241,0.005901825058284428
3,10,104,0.9991110566587007,0.0008893386857412214,47,181,0.006056596795057978
4,0,147,0.9991078737003694,0.0008925244811343018,123,165,0.005948446466835667
5,8,141,0.9991156507991216,0.0008847404683280242,31,193,0.005898775810400561
6,14,111,0.9991394613659295,0.0008609091099953834,89,135,0.0058278826023582305
7,14,222,0.9991155043901394,0.0008848870069121914,81,143,0.005845068872504553
8,7,212,0.999104663312595,0.0008957377406999746,3,143,0.006114905179041173
9,4,212,0.999104663312595,0.0008957377406999746,3,143,0.006114905179041173
10,6,153,0.9991141562517708,0.0008862363396692416,79,145,0.0059512867698524145
11,10,254,0.9990716451394518,0.0009287860488062258,41,247,0.005948994970316024
12,7,212,0.999104663312595,0.0008957377406999746,3,143,0.006114905179041173
13,12,248,0.9990807587829084,0.0009196639783988394,41,207,0.00595881852035828
14,2,227,0.9991207827115797,0.0008796040266416962,47,241,0.005920859260475158
15,7,184,0.9991247163405272,0.0008756669438864059,21,41,0.005900229756122985
